"feast_code","feast_ta"
"Saint Sharbel Makhluf, hermit","புனித சார்பெல் மாக்லுப் - மறைப்பணியாளர்"
"Saint James, apostle","புனித யாக்கோபு - திருத்தூதர்"
"Saints Joachim and Anne","புனிதர்கள் சுவக்கீம், அன்னா - தூய மரியாவின் பெற்றோர்"
"Saint Martha","புனித மார்த்தா"
"Saints Martha, Mary and Lazarus","புனிதர்கள் மார்த்தா, மரியா, இலாசர்"
"Saint Peter Chrysologus, bishop and doctor","புனித பீட்டர் கிறிசோலோகு - ஆயர், மறைவல்லுநர்"
"Saint Ignatius of Loyola, priest","புனித லொயோலா இஞ்ஞாசி - மறைப்பணியாளர்"
"Saint Alphonsus Maria de Liguori, bishop and doctor of the Church","புனித அல்போன்ஸ் மரிய லிகோரி - ஆயர், மறைவல்லுநர்"
"Saint Eusebius of Vercelli, bishop","வெர்செல்லி நகர் புனித யுசேபியு - ஆயர்"
"Saint Peter Julian Eymard, priest","புனித பீட்டர் ஜூலியன் எய்மார்ட் - மறைப்பணியாளர்"
"Saint Jean Vianney (the Curé of Ars), priest","புனித ஜான் மரிய வியான்னி - மறைப்பணியாளர்"
"Dedication of the Basilica of Saint Mary Major","தூய கன்னி மரியாவின் பேராலய நேர்ந்தளிப்பு (பனிமய அன்னை)"
"Transfiguration of the Lord","ஆண்டவரின் தோற்றமாற்றம்"
"Saint Cajetan, priest","புனித கயத்தான் - மறைப்பணியாளர்"
"Saint Sixtus II, pope, and companions, martyrs","புனிதர்கள் திருத்தந்தை இரண்டாம் சிக்ஸ்து, தோழர்கள் - மறைச்சாட்சியர்"
"Saint Dominic, priest","புனித தோமினிக் - மறைப்பணியாளர்"
"Saint Teresa Benedicta of the Cross (Edith Stein), virgin and martyr","திருச்சிலுவையின் புனித தெரெசா பெனடிக்டா - கன்னியர், மறைச்சாட்சி"
"Saint Lawrence, deacon and martyr","புனித லாரன்ஸ் - திருத்தொண்டர், மறைச்சாட்சி"
"Saint Clare, virgin","புனித கிளாரா - கன்னியர்"
"Saint Jane Frances de Chantal, religious","சாந்தால் நகர் புனித ஜான் பிரான்சிஸ்கா - துறவி"
"Saints Pontian, pope, and Hippolytus, priest, martyrs","புனிதர்கள் திருத்தந்தை போன்சியானு, மறைப்பணியாளர் இப்போலித்து - மறைச்சாட்சியர்"
"Saint Maximilian Mary Kolbe, priest and martyr","புனித மாக்சிமிலியன் மரிய கோல்பே - மறைப்பணியாளர், மறைச்சாட்சி"
"Assumption of the Blessed Virgin Mary","தூய கன்னி மரியாவின் விண்ணேற்பு"
"Saint Stephen of Hungary","அங்கேரி புனித ஸ்தேவான்"
"Saint John Eudes, priest","புனித ஜான் யூட்ஸ் - மறைப்பணியாளர்"
"Saint Bernard of Clairvaux, abbot and doctor of the Church","புனித பெர்நார்ட் - ஆதீனத் தலைவர், மறைவல்லுநர்"
"Saint Pius X, pope","புனித பத்தாம் பயஸ் - திருத்தந்தை"
"Queenship of Blessed Virgin Mary","அரசியான தூய கன்னி மரியா"
"Saint Rose of Lima, virgin","லீமா நகர் புனித ரோசா - கன்னியர்"
"Saint Bartholomew the Apostle","புனித பர்த்தலமேயு - திருத்தூதர்"
"Saint Joseph of Calasanz, priest","கலசான்ஸ் நகர் புனித யோசேப்பு - மறைப்பணியாளர்"
"Saint Louis","புனித லூயி - மறைப்பணியாளர்"
"Saint Monica","புனித மோனிக்கா"
"Saint Augustine of Hippo, bishop and doctor of the Church","புனித அகுஸ்தீன் - ஆயர், மறைவல்லுநர்"
"The Beheading of Saint John the Baptist, martyr","புனித திருமுழுக்கு யோவானின் பாடுகள்"
"Saint Gregory the Great, pope and doctor","புனித பெரிய கிரகோரி - திருத்தந்தை, மறைவல்லுநர்"
"Saint Teresa of Calcutta, virgin","புனித அன்னை தெரேசா - கன்னியர்"
"Birth of the Blessed Virgin Mary","தூய கன்னி மரியாவின் பிறப்பு (ஆரோக்கிய அன்னை)"
"Saint Peter Claver, priest","புனித பீட்டர் கிளாவர் - மறைப்பணியாளர்"
"Holy Name of the Blessed Virgin Mary","மரியாவின் திருப்பெயர்"
"Saint John Chrysostom, bishop and doctor","புனித யோவான் கிறிசோஸ்தோம் - ஆயர்"
"Exaltation of the Holy Cross","திருச்சிலுவையின் மகிமை"
"Our Lady of Sorrows","புனித மரியாவின் துயரங்கள் (தூய வியாகுல அன்னை)"
"Saints Cornelius, pope, and Cyprian, bishop, martyrs","புனிதர்கள் திருத்தந்தை கொர்னேலியு, ஆயர் சிப்பிரியன் - மறைச்சாட்சியர்"
"Saint Hildegard of Bingen, Virgin and Doctor","பிங்கென் நகர் புனித ஹில்டெகார்ட் - கன்னியர், மறைவல்லுநர்"
"Saint Robert Bellarmine, bishop and doctor","புனித ராபர்ட் பெல்லார்மின் - ஆயர், மறைவல்லுநர்"
"Saint Januarius, bishop and martyr","புனித சனுவாரியு - ஆயர், மறைச்சாட்சி"
"Saint Andrew Kim Taegon, priest, and Paul Chong Hasang and companions, martyrs","புனிதர்கள் மறைப்பணியாளர் ஆன்ரு கிம் தே கோன், பவுல் சோங் காசாங், தோழர்கள் - மறைச்சாட்சியர்"
"Saint Matthew the Evangelist, Apostle, Evangelist","புனித மத்தேயு - திருத்தூதர், நற்செய்தியாளர்"
"Saint Pio of Pietrelcina (Padre Pio), priest","புனித பியோ, மறைப்பணியாளர்"
"Saints Cosmas and Damian, martyrs","புனிதர்கள் கோஸ்மாஸ், தமியான் - மறைச்சாட்சியர்"
"Saint Vincent de Paul, priest","புனித வின்சென்ட் தே பவுல் - மறைப்பணியாளர்"
"Saint Wenceslaus, martyr","புனித வென்செஸ்லாஸ் - மறைச்சாட்சி"
"Saints Lawrence Ruiz and companions, martyrs","புனிதர்கள் லாரன்ஸ் ரூய்ஸ், தோழர்கள் - மறைச்சாட்சியர்"
"Saints Michael, Gabriel and Raphael, Archangels","தூய மிக்கேல், கபிரியேல், ரபேல் - அதிதூதர்கள்"
"Saint Jerome, priest and doctor","புனித எரோணிமுஸ் (ஜெரோம்) - மறைப்பணியாளர், மறைவல்லுநர்"
"Saint Thérèse of the Child Jesus, virgin and doctor","குழந்தை இயேசுவின் புனித தெரேசா - கன்னியர்"
"Guardian Angels","தூய காவல் தூதர்கள்"
"Saint Francis of Assisi","அசிசி நகர் புனித பிரான்சிஸ்"
"Saint Maria Faustina Kowalska, virgin","புனித மரியா பவுஸ்தீனா கோவால்ஸ்கா"
"Saint Bruno, priest","புனித புரூனோ - மறைப்பணியாளர்"
"Our Lady of the Rosary","தூய செபமாலை அன்னை"
"Saint Denis and companions, martyrs","புனிதர்கள் ஆயர் தியோனியுசு, தோழர்கள் - மறைச்சாட்சியர்"
"Saint John Leonardi, priest","புனித யோவான் லெயோனார்ட் - மறைப்பணியாளர்"
"Saint John XXIII, pope","புனித இருபத்தி மூன்றாம் யோவான், திருத்தந்தை"
"Saint Callistus I, pope and martyr","புனித முதலாம் கலிஸ்து - திருத்தந்தை, மறைச்சாட்சி"
"Saint Teresa of Jesus, virgin and doctor","இயேசுவின் (அவிலா நகர்) புனித தெரேசா - கன்னியர், மறைவல்லுநர்"
"Saint Hedwig, religious","புனித எட்விஜ் - துறவி"
"Saint Margaret Mary Alacoque, virgin","புனித மார்கரீத் மரியா அலக்கோக்கு - கன்னியர்"
"Saint Ignatius of Antioch, bishop and martyr","அந்தியோக்கு நகர் புனித இஞ்ஞாசி - ஆயர், மறைச்சாட்சி"
"Saint Luke the Evangelist","புனித லூக்கா - நற்செய்தியாளர்"
"Saint Paul of the Cross, priest","சிலுவையின் புனித பவுல் - மறைப்பணியாளர்"
"Saints Jean de Brébeuf, Isaac Jogues, priests and martyrs; and their companions, martyrs","புனிதர்கள் மறைப்பணியாளர்கள் பிரபூபு ஜான், ஈசாக்கு ஜோகு, தோழர்கள் - மறைச்சாட்சியர்"
"Saint John Paul II, pope","புனித இரண்டாம் அருள் சின்னப்பர், திருத்தந்தை"
"Saint John of Capistrano, priest","கப்பெஸ்த்தரானோ நகர் புனித யோவான் - மறைப்பணியாளர்"
"Saint Anthony Mary Claret, bishop","புனித அந்தோனி மரிய கிளாரட் - ஆயர்"
"Saint Simon and Saint Jude, apostles","புனிதர்கள் சீமோன், யூதா - திருத்தூதர்கள்"
"All Saints","புனிதர் அனைவர்"
"All Souls","இறந்த விசுவாசிகள் அனைவர்"
"Saint Martin de Porres, religious","புனித மார்ட்டின் தெ போரஸ் - துறவி"
"Saint Charles Borromeo, bishop","புனித சார்லஸ் பொரோமியோ - ஆயர்"
"Dedication of the Lateran basilica","இலாத்தரன் பேராலய நேர்ந்தளிப்பு"
"Saint Leo the Great, pope and doctor","புனித பெரிய லெயோ - திருத்தந்தை, மறைவல்லுநர்"
"Saint Martin of Tours, bishop","தூரின் நகர் புனித மார்ட்டின் - ஆயர்"
"Saint Josaphat, bishop and martyr","புனித யோசபாத்து - ஆயர், மறைச்சாட்சி"
"Saint Albert the Great, bishop and doctor","புனித பெரிய ஆல்பர்ட் - ஆயர், மறைவல்லுநர்"
"Saint Gertrude the Great, virgin","புனித ஜெர்த்ரூது - கன்னியர்"
"Saint Margaret of Scotland","ஸ்காட்லாந்து புனித மார்கரீத்"
"Saint Elizabeth of Hungary, religious","அங்கேரி புனித எலிசபெத்து - துறவி"
"Dedication of the basilicas of Saints Peter and Paul, Apostles","திருத்தூதர்கள் பேதுரு, பவுல் பேராலயங்களின் நேர்ந்தளிப்பு"
"Presentation of the Blessed Virgin Mary","தூய கன்னி மரியாவைக் காணிக்கையாக அர்ப்பணித்தல்"
"Saint Cecilia","புனித செசிலியா - கன்னியர், மறைச்சாட்சி"
"Saint Clement I, pope and martyr","புனித முதலாம் கிளமெண்ட், திருத்தந்தை, மறைச்சாட்சி"
"Saint Columban, religious","புனித கொலும்பன் - ஆதீனத் தலைவர்"
"Saint Andrew Dung-Lac and his companions, martyrs","புனிதர்கள் மறைப்பணியாளர் ஆன்ரு டுங் லாக், தோழர்கள் - மறைச்சாட்சியர்"
"Saint Catherine of Alexandria","அலெக்சாந்திரியா நகர் புனித கேத்தரின் - கன்னியர், மறைச்சாட்சி"
"Saint Andrew the Apostle","புனித அந்திரேயா, திருத்தூதர்"
"Saint Francis Xavier, priest","புனித பிரான்சிஸ் சவேரியார் - மறைப்பணியாளர்"
"Saint John Damascene, priest and doctor","புனித யோவான் தமசேன் - மறைப்பணியாளர், மறைவல்லுநர்"
"Saint Nicholas, bishop","புனித நிக்கோலாஸ் - ஆயர்"
"Saint Ambrose, bishop and doctor","புனித அம்புரோஸ் - ஆயர், மறைவல்லுநர்"
"Immaculate Conception of the Blessed Virgin Mary","தூய கன்னி மரியாவின் அமலோற்பவம்"
"Saint Juan Diego","புனித ஜான் தியேகோ"
"Our Lady of Loreto","லொரேட்டோ அன்னை"
"Saint Damasus I, pope","புனித முதலாம் தமசுஸ் - திருத்தந்தை"
"Our Lady of Guadalupe","புனித குவாதெலுப் அன்னை"
"Saint Lucy of Syracuse, virgin and martyr","புனித லூசியா - கன்னியர், மறைச்சாட்சி"
"Saint John of the Cross, priest and doctor","சிலுவையின் புனித யோவான் - மறைப்பணியாளர், மறைவல்லுநர்"
"Saint Peter Canisius, priest and doctor","புனித பீட்டர் கனீசியு - மறைப்பணியாளர், மறைவல்லுநர்"
"Saint John of Kanty, priest","கான்டி நகர் புனித யோவான் - மறைப்பணியாளர்"
"Nativity of the Lord","கிறிஸ்து பிறப்பு"
"Saint Stephen, the first martyr","புனித ஸ்தேவான் - முதல் மறைச்சாட்சி"
"Saint John the Apostle and evangelist","புனித யோவான் - திருத்தூதர், நற்செய்தியாளர்"
"Holy Innocents, martyrs","புனித மாசில்லாக் குழந்தைகள் - மறைச்சாட்சியர்"
"Saint Thomas Becket, bishop and martyr","புனித தாமஸ் பெக்கட் - ஆயர் மறைச்சாட்சி"
"Saint Sylvester I, pope","புனித முதலாம் சில்வெஸ்தர் - திருத்தந்தை"
"IN Saint Kuriakose Elias Chavara, priest","புனித குரியாக்கோஸ் எலியாஸ் சவரா - மறைப்பணியாளர்"
"IN Saint Devasahayam Pillai, martyr","புனித தேவசகாயம் பிள்ளை, மறைச்சாட்சி"
"IN Saint Joseph Vaz, priest","புனித ஜோசப் வாஸ் - மறைப்பணியாளர்"
"IN Saint John de Brito, priest and martyr","புனித ஜான் தெ பிரிட்டோ (அருளானந்தர்) - மறைப்பணியாளர், மறைச்சாட்சி"
"IN Saint Gonsalo Garcia, martyr","புனித கொன்சாலோ கார்சியா - மறைச்சாட்சி"
"IN Blessed Rani Maria, virgin, martyr","முத்தி. இராணி மரியா, கன்னியர், மறைச்சாட்சி"
"IN Blessed Maria Theresa Chiramel, virgin","முத்தி. மரிய தெரேசா சிராமெல் - கன்னியர்"
"IN Saint Thomas the Apostle","புனித தோமா - இந்தியாவின் திருத்தூதர்"
"IN Saint Alphonsa of the Immaculate Conception (Alphonsa Muttathupadathu), virgin","அமலோற்பவத்தின் புனித அல்போன்சா முட்டாத்துபாடாத் - கன்னியர்"
"IN Saint Euphrasia, virgin","புனித யூப்ரேசியா, கன்னியர்"
"IN Saint Teresa of Calcutta, virgin","புனித அன்னை தெரேசா - கன்னியர்"
"IN Blessed Augustine Thevarparambil, priest","முத்தி. அகுஸ்தின் தேவர்பரம்பில் - மறைப்பணியாளர்"
"IN Saint Francis Xavier, priest","புனித பிரான்சிஸ் சவேரியார் - மறைப்பணியாளர், இந்தியாவின் பாதுகாவலர்"
